20221029-213357:16,3.0
20221029-213358:16,3.1
20221029-213359:16,1.3
20221029-213400:16,1.4
20221029-213401:16,2.2
20221029-213402:16,1.3
20221029-213403:16,1.6
20221029-213404:16,1.6
20221029-213405:16,1.7
20221029-213406:16,1.6
20221029-213407:16,1.5
20221029-213408:16,1.3
20221029-213409:16,1.4
20221029-213410:16,1.4
20221029-213411:16,0.8
20221029-213412:16,1.8
20221029-213413:16,1.5
20221029-213414:16,1.6
20221029-213415:16,1.2
20221029-213416:16,1.0
20221029-213417:16,1.2
20221029-213419:16,1.1
20221029-213420:16,1.5
20221029-213421:16,1.2
20221029-213422:16,1.7
20221029-213423:16,1.4
20221029-213424:16,1.7
20221029-213425:16,1.7
20221029-213426:16,1.6
20221029-213427:16,1.0
20221029-213428:16,1.1
20221029-213429:16,1.1
20221029-213430:16,1.3
20221029-213431:16,1.1
20221029-213432:16,1.1
20221029-213433:16,1.5
20221029-213434:16,1.0
20221029-213435:16,1.3
20221029-213436:16,1.9
20221029-213437:16,1.3
20221029-213438:16,1.8
20221029-213439:16,1.4
20221029-213440:16,1.5
20221029-213441:16,1.3
20221029-213442:16,1.4
20221029-213443:16,1.4
20221029-213444:16,1.2
20221029-213445:16,1.3
20221029-213446:16,1.3
20221029-213447:16,1.4
20221029-213448:16,2.0
20221029-213449:16,1.5
20221029-213450:16,1.8
20221029-213451:16,1.2
20221029-213452:16,1.6
20221029-213453:16,1.4
20221029-213454:16,1.3
20221029-213455:16,1.6
20221029-213456:16,1.4
20221029-213457:16,1.4
20221029-213458:16,1.5
20221029-213459:16,1.5
20221029-213500:16,1.3
20221029-213501:16,1.0
20221029-213502:16,1.7
20221029-213503:16,1.5
20221029-213504:16,0.9
20221029-213505:16,1.9
20221029-213506:16,1.1
20221029-213507:16,1.5
20221029-213508:16,1.5
20221029-213509:16,1.4
20221029-213510:16,1.7
20221029-213511:16,1.5
20221029-213512:16,1.2
20221029-213513:16,1.5
20221029-213514:16,1.7
20221029-213515:16,1.6
20221029-213516:16,1.7
20221029-213517:16,1.8
20221029-213518:16,1.5
20221029-213519:16,1.6
20221029-213520:16,1.7
20221029-213521:16,1.5
20221029-213522:16,2.2
20221029-213523:16,1.4
20221029-213524:16,2.0
20221029-213525:16,1.4
20221029-213526:16,1.7
20221029-213527:16,2.1
20221029-213528:16,1.6
20221029-213529:16,2.1
20221029-213530:16,1.7
20221029-213531:16,1.8
20221029-213532:16,1.7
20221029-213533:16,2.5
20221029-213534:16,1.5
20221029-213535:16,1.0
20221029-213536:16,2.1
20221029-213537:16,1.5
20221029-213538:16,2.2
20221029-213539:16,1.9
20221029-213540:16,1.3
20221029-213541:16,1.6
20221029-213542:16,2.0
20221029-213543:16,1.7
20221029-213544:16,1.9
20221029-213545:16,1.4
20221029-213546:16,1.5
20221029-213547:16,2.1
20221029-213548:16,1.4
20221029-213549:16,1.4
20221029-213550:16,1.0
20221029-213551:16,2.0
20221029-213552:16,1.8
20221029-213553:16,1.0
20221029-213554:16,1.8
20221029-213555:16,1.0
20221029-213556:16,1.2
20221029-213557:16,0.9
20221029-213558:16,2.2
20221029-213559:16,1.4
20221029-213601:16,2.0
20221029-213602:16,1.7
20221029-213603:16,1.5
20221029-213604:16,1.7
20221029-213605:16,1.7
20221029-213606:16,1.8
20221029-213607:16,1.6
20221029-213608:16,1.8
20221029-213609:16,2.6
20221029-213610:16,1.3
20221029-213611:16,1.2
20221029-213612:16,1.8
20221029-213613:16,1.3
20221029-213614:16,0.6
20221029-213615:16,1.4
20221029-213616:16,1.5
